number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_max_epochs,params_max_pct_mito,params_min_cells,params_min_genes,params_n_hidden,params_n_latent,params_n_layers,params_n_top_genes,params_norm_method,state
68,0.01,2025-05-05 19:16:37.843396,2025-05-05 19:16:37.868865,0 days 00:00:00.025469,,,,0.1,3,300,,20.0,2.0,1000,total,COMPLETE
69,0.01,2025-05-05 19:16:37.874553,2025-05-05 19:16:37.899895,0 days 00:00:00.025342,,,,0.1,3,300,,20.0,2.0,1000,total,COMPLETE
70,0.01,2025-05-05 19:16:37.905487,2025-05-05 19:16:38.018239,0 days 00:00:00.112752,,,,0.05,10,300,,10.0,2.0,1000,total,COMPLETE
71,0.01,2025-05-05 19:16:38.024333,2025-05-05 19:16:38.129977,0 days 00:00:00.105644,,,,0.1,3,300,,20.0,2.0,3000,total,COMPLETE
72,0.01,2025-05-05 19:16:38.135568,2025-05-05 19:16:38.171658,0 days 00:00:00.036090,,,,0.1,3,1000,,10.0,2.0,3000,sctransform,COMPLETE
73,0.01,2025-05-05 19:16:38.177852,2025-05-05 19:16:38.329212,0 days 00:00:00.151360,,,,0.1,10,300,,20.0,1.0,2000,total,COMPLETE
74,0.01,2025-05-05 19:16:38.335438,2025-05-05 19:17:14.644538,0 days 00:00:36.309100,,,,0.2,3,500,,10.0,1.0,1000,sctransform,COMPLETE
75,0.01,2025-05-05 19:17:14.651135,2025-05-05 19:17:14.681786,0 days 00:00:00.030651,,,,0.05,10,300,,30.0,2.0,3000,total,COMPLETE
76,0.01,2025-05-05 19:17:14.687985,2025-05-05 19:17:31.583920,0 days 00:00:16.895935,,,,0.15000000000000002,3,1000,,10.0,1.0,4000,sctransform,COMPLETE
77,0.01,2025-05-05 19:17:31.618171,2025-05-05 19:17:31.746615,0 days 00:00:00.128444,,,,0.2,3,1000,,10.0,1.0,1000,sctransform,COMPLETE
78,0.01,2025-05-05 19:17:31.752975,2025-05-05 19:17:31.788201,0 days 00:00:00.035226,,,,0.2,3,1000,,10.0,1.0,1000,sctransform,COMPLETE
79,0.01,2025-05-05 19:17:31.794127,2025-05-05 19:17:31.835845,0 days 00:00:00.041718,,,,0.2,3,1000,,10.0,1.0,1000,sctransform,COMPLETE
80,0.01,2025-05-05 19:17:31.842142,2025-05-05 19:17:33.151265,0 days 00:00:01.309123,,,,0.2,3,200,,10.0,1.0,2000,sctransform,COMPLETE
81,0.01,2025-05-05 19:17:33.165208,2025-05-05 19:17:45.277288,0 days 00:00:12.112080,,,,0.1,3,1000,,10.0,1.0,1000,sctransform,COMPLETE
82,0.01,2025-05-05 19:17:45.283302,2025-05-05 19:18:26.526663,0 days 00:00:41.243361,,,,0.25,10,500,,20.0,1.0,3000,sctransform,COMPLETE
83,0.01,2025-05-05 19:18:26.533293,2025-05-05 19:18:26.678935,0 days 00:00:00.145642,,,,0.15000000000000002,3,300,,30.0,1.0,4000,total,COMPLETE
84,0.01,2025-05-05 19:18:26.685197,2025-05-05 19:19:21.090965,0 days 00:00:54.405768,,,,0.2,10,300,,10.0,1.0,2000,sctransform,COMPLETE
85,0.01,2025-05-05 19:19:21.096799,2025-05-05 19:19:21.134966,0 days 00:00:00.038167,,,,0.1,3,1000,,10.0,2.0,3000,sctransform,COMPLETE
86,0.01,2025-05-05 19:19:21.140993,2025-05-05 19:19:21.256901,0 days 00:00:00.115908,,,,0.2,3,500,,30.0,1.0,1000,total,COMPLETE
87,0.01,2025-05-05 19:19:21.263233,2025-05-05 19:19:21.309952,0 days 00:00:00.046719,,,,0.15000000000000002,3,300,,30.0,1.0,3000,total,COMPLETE
88,0.01,2025-05-05 19:19:21.317666,2025-05-05 19:19:21.356347,0 days 00:00:00.038681,,,,0.15000000000000002,3,300,,30.0,1.0,3000,total,COMPLETE
89,0.01,2025-05-05 19:19:21.362730,2025-05-05 19:19:21.398062,0 days 00:00:00.035332,,,,0.15000000000000002,3,300,,30.0,1.0,3000,total,COMPLETE
90,0.01,2025-05-05 19:19:21.403879,2025-05-05 19:19:21.430496,0 days 00:00:00.026617,,,,0.1,3,300,,30.0,1.0,3000,total,COMPLETE
91,0.01,2025-05-05 19:19:21.436345,2025-05-05 19:19:21.472096,0 days 00:00:00.035751,,,,0.2,10,1000,,20.0,1.0,2000,sctransform,COMPLETE
92,0.01,2025-05-05 19:19:21.486463,2025-05-05 19:20:11.596723,0 days 00:00:50.110260,,,,0.15000000000000002,3,300,,30.0,1.0,4000,sctransform,COMPLETE
93,0.01,2025-05-05 19:20:11.602568,2025-05-05 19:20:11.716959,0 days 00:00:00.114391,,,,0.2,3,200,,10.0,1.0,3000,total,COMPLETE
94,0.01,2025-05-05 19:20:11.722990,2025-05-05 19:20:12.793971,0 days 00:00:01.070981,,,,0.15000000000000002,10,300,,20.0,1.0,2000,sctransform,COMPLETE
95,0.01,2025-05-05 19:20:12.799772,2025-05-05 19:20:12.840950,0 days 00:00:00.041178,,,,0.1,3,1000,,30.0,2.0,3000,sctransform,COMPLETE
96,0.01,2025-05-05 19:20:12.846947,2025-05-05 19:20:12.950771,0 days 00:00:00.103824,,,,0.2,3,500,,10.0,1.0,3000,total,COMPLETE
97,0.01,2025-05-05 19:20:12.961044,2025-05-05 19:20:12.992556,0 days 00:00:00.031512,,,,0.05,3,500,,10.0,1.0,3000,total,COMPLETE
98,0.01,2025-05-05 19:20:12.998618,2025-05-05 19:20:13.036411,0 days 00:00:00.037793,,,,0.05,3,500,,10.0,1.0,3000,total,COMPLETE
99,0.01,2025-05-05 19:20:13.042705,2025-05-05 19:20:13.078841,0 days 00:00:00.036136,,,,0.05,3,500,,10.0,1.0,3000,total,COMPLETE
100,0.01,2025-05-05 19:20:13.087360,2025-05-05 19:20:13.116339,0 days 00:00:00.028979,,,,0.15000000000000002,3,300,,10.0,1.0,4000,total,COMPLETE
101,0.01,2025-05-05 19:20:13.122138,2025-05-05 19:20:13.259370,0 days 00:00:00.137232,,,,0.05,10,500,,10.0,1.0,2000,sctransform,COMPLETE
102,0.01,2025-05-05 19:20:13.271164,2025-05-05 19:20:14.340822,0 days 00:00:01.069658,,,,0.1,3,300,,30.0,1.0,3000,sctransform,COMPLETE
103,0.01,2025-05-05 19:20:14.346724,2025-05-05 19:20:14.405531,0 days 00:00:00.058807,,,,0.2,3,1000,,10.0,2.0,1000,total,COMPLETE
104,0.01,2025-05-05 19:20:14.411501,2025-05-05 19:20:15.484210,0 days 00:00:01.072709,,,,0.2,3,300,,20.0,1.0,3000,sctransform,COMPLETE
105,0.01,2025-05-05 19:20:15.490283,2025-05-05 19:20:15.564575,0 days 00:00:00.074292,,,,0.25,10,500,,30.0,1.0,2000,total,COMPLETE
106,0.01,2025-05-05 19:24:45.389765,2025-05-05 19:24:45.431280,0 days 00:00:00.041515,,,,0.1,3,1000,,10.0,1.0,1000,sctransform,COMPLETE
107,0.01,2025-05-05 19:24:45.438863,2025-05-05 19:24:46.744028,0 days 00:00:01.305165,,,,0.25,10,200,,30.0,2.0,2000,sctransform,COMPLETE
108,0.01,2025-05-05 19:24:46.750897,2025-05-05 19:24:48.015284,0 days 00:00:01.264387,,,,0.25,10,200,,30.0,2.0,2000,sctransform,COMPLETE
